Menu Item,Component,Ingredient,Portion,Unit,Notes,,Menu List
Smoky BBQ + Crema (Pork) — with Corn Salsa,Base,Jasmine rice (dry),0.250,lb,1 cup cooked rice,,Smoky BBQ + Crema (Pork) — with Corn Salsa
Smoky BBQ + Crema (Pork) — with Corn Salsa,Protein,Pork (raw),0.313,lb,≈5 oz raw,,
Smoky BBQ + Crema (Pork) — with Corn Salsa,Veg,Slaw mix,0.150,lb,Crunch layer,,
Smoky BBQ + Crema (Pork) — with Corn Salsa,Veg,Julienne carrots,0.050,lb,Carrot strips,,
Smoky BBQ + Crema (Pork) — with Corn Salsa,Veg,Julienne cucumbers,0.050,lb,Cucumber strips,,
Smoky BBQ + Crema (Pork) — with Corn Salsa,Pickle,Pickled onion base,0.031,qt,1 oz portion,,
Smoky BBQ + Crema (Pork) — with Corn Salsa,Sauce,BBQ Sauce (House),0.008,gal,1 oz squeeze,,
Smoky BBQ + Crema (Pork) — with Corn Salsa,Sauce,House Green Sauce (Peruvian + Aioli Fusion),0.006,gal,0.75 oz crema stand-in,,
Smoky BBQ + Crema (Pork) — with Corn Salsa,Garnish,Herb mix,0.020,lb,Fresh herbs,,
Smoky BBQ + Crema (Pork) — with Corn Salsa,Packaging,Packaging cost per bowl,1.000,each,Disposable set,,
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Base,Jasmine rice (dry),0.250,lb,1 cup,,Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Protein,Chicken (raw),0.313,lb,4-5 oz raw,,
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Veg,Slaw mix,0.150,lb,Crunch layer,,
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Pickle,Pickled onion base,0.016,qt,0.5 oz portion,,
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Sauce,Caribbean Jerk-Pineapple Sauce,0.008,gal,1 oz glaze,,
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Sauce,Mustardy Habanero Hot Sauce (tamed),0.006,gal,0.75 oz drizzle,,
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Sauce,House Green Sauce (Peruvian + Aioli Fusion),0.006,gal,Crema analog,,
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Garnish,Herb mix,0.020,lb,Fresh herbs,,
Caribbean Jerk Bowl (Chicken) — Mustardy Habanero + Caribbean Sauce,Packaging,Packaging cost per bowl,1.000,each,Disposable set,,
Caribbean Jerk Bowl (Pork) — Mustardy Habanero + Caribbean Sauce,Base,Jasmine rice (dry),0.250,lb,1 cup,,Caribbean Jerk Bowl (Pork) — Mustardy Habanero + Caribbean Sauce
Caribbean Jerk Bowl (Pork) — Mustardy Habanero + Caribbean Sauce,Protein,Pork (raw),0.313,lb,4-5 oz raw,,
Caribbean Jerk Bowl (Pork) — Mustardy Habanero + Caribbean Sauce,Veg,Slaw mix,0.150,lb,Crunch layer,,
Caribbean Jerk Bowl (Pork) — Mustardy Habanero + Caribbean Sauce,Pickle,Pickled onion base,0.016,qt,0.5 oz portion,,
Caribbean Jerk Bowl (Pork) — Mustardy Habanero + Caribbean Sauce,Sauce,Caribbean Jerk-Pineapple Sauce,0.008,gal,1 oz,,
Caribbean Jerk Bowl (Pork) — Mustardy Habanero + Caribbean Sauce,Sauce,Mustardy Habanero Hot Sauce (tamed),0.006,gal,0.75 oz,,
